supplier,supplier_code,invoice_description,lightspeed_product,cost_per_unit_incl_gst,basis,pack_size,pack_qty,pack_unit,cost_per_base_unit,venue,source_invoice,invoice_date,in_bounds,note
Lightspeed,20445897,San Pellegrino 500ml,San Pellegrino 500ml,2.3200,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20445897
Lightspeed,20459447,4 Pines Kolsch Bottle D,4 Pines Kolsch Bottle D,2.6500,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20459447
Lightspeed,20459505,Grifter Pale Ale Cans D,Grifter Pale Ale Cans D,2.7400,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20459505
Lightspeed,20459532,Status Quo Can D,Status Quo Can D,3.6900,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20459532
Lightspeed,20459552,Coke 1.25L,Coke 1.25L,3.6900,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20459552
Lightspeed,20459553,Coke Zero 1.25L,Coke Zero 1.25L,3.0900,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20459553
Lightspeed,20459554,Solo 1.25L,Solo 1.25L,2.0300,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20459554
Lightspeed,20459555,Sprite 1.25L,Sprite 1.25L,4.2654,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20459555
Lightspeed,20459557,Sunkist 1.25L,Sunkist 1.25L,3.7700,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20459557
Lightspeed,20459560,Coke Can,Coke Can,1.8900,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20459560
Lightspeed,20459561,Coke Zero Can,Coke Zero Can,1.8900,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20459561
Lightspeed,20459564,Sprite Can,Sprite Can,1.4700,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20459564
Lightspeed,20464467,A. Rodda Tempranillo 750ML,A. Rodda Tempranillo,27.8600,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20464467
Lightspeed,20464486,Das Juice Pink Pet Nat 750ML,Das Juice Pink Pet Nat,16.5000,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20464486
Lightspeed,20464635,Trutta Streamside Shiraz [Chilled] 750ML,Trutta Streamside Shiraz [Chilled],18.7000,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20464635
Lightspeed,20464639,Domaine Gueguen Chablis 750ML,Domaine Gueguen Chablis,44.7320,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20464639
Lightspeed,20464644,Dormilona Chenin Blanc 750ML,Dormilona Chenin Blanc,20.3500,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20464644
Lightspeed,20464651,Ottelia Cab Sav 750ML,Ottelia Cab Sav,24.2000,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20464651
Lightspeed,20464656,Glaetzer Anaperenna Shiraz Cab 750ML,Glaetzer Anaperenna Shiraz Cab,37.5000,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20464656
Lightspeed,20464662,Padrillos Malbec 750ML,Padrillos Malbec,19.3325,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20464662
Lightspeed,20464670,Kuku Sauvignon Blanc 750ML,Kuku Sauvignon Blanc,14.5742,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20464670
Lightspeed,20464685,Mother's Milk Shiraz 750ML,Mother's Milk Shiraz,16.0817,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20464685
Lightspeed,20464694,Ottelia Chardonnay 750ML,Ottelia Chardonnay,17.2900,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20464694
Lightspeed,20464707,Two Tonne Riesling 750ML,Two Tonne Riesling,17.5800,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20464707
Lightspeed,20466083,Ravensworth Skins Gris 750ML,Ravensworth Skins Gris,18.3600,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20466083
Lightspeed,20466090,Scout Pinot Gris 750ML,Scout Pinot Gris,19.8000,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20466090
Lightspeed,20466095,Sigurd White Blend 750ML,Sigurd White Blend,16.2800,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20466095
Lightspeed,20466100,Sigurd GSM Red Blend 750ML,Sigurd GSM Red Blend,23.1000,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20466100
Lightspeed,20466106,Petits Detours Rosé Mediterranee 750ML,Petits Detours Rosé Mediterranee,16.4958,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20466106
Lightspeed,20466112,Trentham Estate Rosé 750ML,Trentham Estate Rosé,10.5500,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20466112
Lightspeed,20466120,Version Two Pinot Grigio 750ML,Version Two Pinot Grigio,8.8333,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20466120
Lightspeed,20466130,Version Two Sparkling 750ML,Version Two Sparkling,8.8333,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20466130
Lightspeed,20466168,Villa Fresco Sangiovese 750ML,Villa Fresco Sangiovese,12.0600,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20466168
Lightspeed,20467569,A. Rodda Chardonnay 750ML,A. Rodda Chardonnay,37.7000,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20467569
Lightspeed,20467573,Year Wines 'Zagara' Orange 750ML,Year Wines 'Zagara' Orange,17.1100,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20467573
Lightspeed,20483410,Rooster Rojo Blanco Tequila 700ML,Rooster Rojo Blanco Tequila,51.6617,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20483410
Lightspeed,20483413,Massenez Triple Sec 5000ML,Massenez Triple Sec,359.0000,,1,5000,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20483413
Lightspeed,20484279,Amaro Montenegro 700ML,Amaro Montenegro,44.4800,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20484279
Lightspeed,20484282,Angel's Envy Bourbon 700ML,Angel's Envy Bourbon,89.1400,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20484282
Lightspeed,20484285,Antica Formula Rosso Vermouth 700ML,Antica Formula Rosso Vermouth,64.0200,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20484285
Lightspeed,20484286,Aperol 700ML,Aperol,29.0800,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20484286
Lightspeed,20484292,Archie Rose Signature Gin 750ML,Archie Rose Signature Gin,63.9200,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20484292
Lightspeed,20484692,Dolin Blanc Vermouth 750ML,Dolin Blanc Vermouth,25.0200,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20484692
Lightspeed,20484721,Belvedere Vodka 700ML,Belvedere Vodka,61.6600,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20484721
Lightspeed,20484732,Big Sur IPA,Big Sur IPA,342.0000,keg,1,1,keg,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (keg); ProductID 20484732
Lightspeed,20484751,Buffalo Trace Bourbon 700ML,Buffalo Trace Bourbon,52.9500,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20484751
Lightspeed,20484753,Campari 700ML,Campari,41.7900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20484753
Lightspeed,20484763,Regal Rogue Bold Red Vermouth 5000ML,Regal Rogue Bold Red Vermouth,183.0000,,1,5000,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20484763
Lightspeed,20484772,Braulio 700ML,Braulio,30.1500,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20484772
Lightspeed,20484779,Brix White Rum 700ML,Brix White Rum,58.0200,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20484779
Lightspeed,20484784,Fever-Tree Naturally Light Tonic,Fever-Tree Naturally Light Tonic,4.1100,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20484784
Lightspeed,20484922,Dutshcke Pedro Ximenez 12yr Port 700ML,Dutshcke Pedro Ximenez 12yr Port,30.5300,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20484922
Lightspeed,20484930,White Light Vodka 20000ML,White Light Vodka,1012.7800,,1,20000,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20484930
Lightspeed,20484934,Kahlua 1000ML,Kahlua,47.9000,,1,1000,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20484934
Lightspeed,20484956,Fever-Tree Mediterannean Tonic,Fever-Tree Mediterannean Tonic,4.1100,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20484956
Lightspeed,20485015,Cynar 700ML,Cynar,28.3800,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20485015
Lightspeed,20485056,Cri De Couer Pinot Noir 750ML,Cri De Couer Pinot Noir,62.1517,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20485056
Lightspeed,20485738,Casamigos Reposado Tequila 700ML,Casamigos Reposado Tequila,75.0000,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20485738
Lightspeed,20487225,Grand Marnier 700ML,Grand Marnier,52.7900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487225
Lightspeed,20487234,Cocchi Americano 700ML,Cocchi Americano,52.3200,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487234
Lightspeed,20487237,Mancino Sakura Vermouth 700ML,Mancino Sakura Vermouth,47.4800,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487237
Lightspeed,20487238,Dom Benedictine 700ML,Dom Benedictine,58.0500,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487238
Lightspeed,20487241,Select Aperitivo 700ML,Select Aperitivo,27.6100,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487241
Lightspeed,20487243,Cazcabel Reposado Tequila 700ML,Cazcabel Reposado Tequila,64.4400,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487243
Lightspeed,20487270,Angostura Bitters 200ML,Angostura Bitters,20.8900,,1,200,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487270
Lightspeed,20487286,Four Pillars Bloody Shiraz 750ML,Four Pillars Bloody Shiraz,65.6600,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487286
Lightspeed,20487298,Alehouse Draught Lager,Alehouse Draught Lager,212.4400,keg,1,1,keg,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (keg); ProductID 20487298
Lightspeed,20487319,Noilly Prat Dry Vermouth 700ML,Noilly Prat Dry Vermouth,35.6900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487319
Lightspeed,20487447,Hartshorn Sheep Whey Vodka 700ML,Hartshorn Sheep Whey Vodka,65.4500,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487447
Lightspeed,20487456,Brookie's Mac. Liqueur 700ML,Brookie's Mac. Liqueur,45.9900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487456
Lightspeed,20487459,Harveys Bristol Cream Sherry 700ML,Harveys Bristol Cream Sherry,14.5900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487459
Lightspeed,20487472,Hendrick's Gin 700ML,Hendrick's Gin,62.6100,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487472
Lightspeed,20487488,Illegal Reposado Mezcal 700ML,Illegal Reposado Mezcal,102.0500,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487488
Lightspeed,20487531,Kraken Rum 700ML,Kraken Rum,49.4300,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487531
Lightspeed,20487546,Lost Explorer Espadín Mezcal 700ML,Lost Explorer Espadín Mezcal,64.6700,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487546
Lightspeed,20487567,Macallan Sherry Oak 12yr 700ML,Macallan Sherry Oak 12yr,137.3400,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487567
Lightspeed,20487709,Manly Spirits Limoncello 700ML,Manly Spirits Limoncello,45.3300,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487709
Lightspeed,20487788,Mr Black Coffee Liqueur 700ML,Mr Black Coffee Liqueur,38.2900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487788
Lightspeed,20487805,Fee Bros Black Walnut Bitters 150ML,Fee Bros Black Walnut Bitters,20.8700,,1,150,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487805
Lightspeed,20487812,Myer's Jamaican Rum 700ML,Myer's Jamaican Rum,61.0600,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487812
Lightspeed,20487829,Never Never Oyster Shell Gin 700ML,Never Never Oyster Shell Gin,69.5000,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487829
Lightspeed,20487836,Monkey Shoulder Scotch 700ML,Monkey Shoulder Scotch,55.3200,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487836
Lightspeed,20487889,Oscar.697 Bianco Vermouth 700ML,Oscar.697 Bianco Vermouth,42.6700,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487889
Lightspeed,20487897,Oscar.697 Rosso Vermouth 700ML,Oscar.697 Rosso Vermouth,29.3000,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487897
Lightspeed,20487946,Plantation 3 Stars White Rum 700ML,Plantation 3 Stars White Rum,60.8300,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487946
Lightspeed,20487949,Appleton Rum 700ML,Appleton Rum,51.2900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487949
Lightspeed,20487958,Poor Tom's Strawberry Gin 700ML,Poor Tom's Strawberry Gin,66.6100,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487958
Lightspeed,20487972,Quiquiriqui Mezcal 700ML,Quiquiriqui Mezcal,78.5900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487972
Lightspeed,20492630,St. Germain Elderflower Liqueur 700ML,St. Germain Elderflower Liqueur,48.9400,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492630
Lightspeed,20492640,Chartreuse Yellow 700ML,Chartreuse Yellow,76.0900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492640
Lightspeed,20492687,Vinada Sparking Rosé 750ML,Vinada Sparking Rosé,12.5600,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492687
Lightspeed,20492688,Disaronno 700ML,Disaronno,43.3400,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492688
Lightspeed,20492689,Domaine de Canton Ginger Liqueur 700ML,Domaine de Canton Ginger Liqueur,48.9400,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492689
Lightspeed,20492690,Italicus Bergamot Liqueur 700ML,Italicus Bergamot Liqueur,66.4800,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492690
Lightspeed,20492697,Tequila Ocho Anejo 700ML,Tequila Ocho Anejo,99.0000,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492697
Lightspeed,20492699,Tilde Raw Vodka 700ML,Tilde Raw Vodka,59.0000,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492699
Lightspeed,20492701,Tito's Vodka 700ML,Tito's Vodka,61.9300,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492701
Lightspeed,20492707,Chambord 700ML,Chambord,50.7300,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492707
Lightspeed,20492716,John D. Taylor's Velvet Falernum 700ML,John D. Taylor's Velvet Falernum,34.9900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492716
Lightspeed,20492747,Wolf Lane Navy Gin 700ML,Wolf Lane Navy Gin,77.4000,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492747
Lightspeed,20492750,Wray & Nephew's OR Rumbar OP Rum 700ML,Wray & Nephew's OR Rumbar OP Rum,95.4500,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492750
Lightspeed,20492757,Cointreau 700ML,Cointreau,49.9500,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492757
Lightspeed,20512320,Luxardo Maraschino 700ML,Luxardo Maraschino,51.4200,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20512320
Lightspeed,20512408,Germano Caetano Cachaça 700ML,Germano Caetano Cachaça,44.7800,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20512408
Lightspeed,20512418,Joseph Cartron Apricot Brandy 700ML,Joseph Cartron Apricot Brandy,39.5100,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20512418
Lightspeed,20512419,Brookie's Slow Gin 700ML,Brookie's Slow Gin,57.9400,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20512419
Lightspeed,20512429,Lillet Blanc Aperitif 750ML,Lillet Blanc Aperitif,27.8000,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20512429
Lightspeed,20512724,Pimm's Aperitif 700ML,Pimm's Aperitif,35.1700,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20512724
Lightspeed,20512800,St. Remy Brandy 700ML,St. Remy Brandy,38.3200,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20512800
Lightspeed,20645869,Crankshaft IPA,Crankshaft IPA,377.3000,keg,1,1,keg,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (keg); ProductID 20645869
Lightspeed,20645881,Veuve Clicquot Yellow Label 750ML,Veuve Clicquot Yellow Label,78.6800,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20645881
Lightspeed,20645902,Unico Zelo Terra Cotta 750ML,Unico Zelo Terra Cotta,17.9100,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20645902
Lightspeed,20645912,Travelling While Standing Still Gin 700ML,Travelling While Standing Still Gin,90.0000,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20645912
Lightspeed,20645919,Gosling's Black Rum 700ML,Gosling's Black Rum,63.4800,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20645919
Lightspeed,20655236,Geppetto Pinot Noir 750ML,Geppetto Pinot Noir,17.5608,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20655236
Lightspeed,20655376,De La Grosse Beaujolais 750ML,De La Grosse Beaujolais,34.5800,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20655376
Lightspeed,20691638,Heaps Normal Quiet XPA,Heaps Normal Quiet XPA,2.4600,can,1,1,each,,harry_gatos,bo-seed-harry_gatos,2026-01-01,yes,BO export cost (each); ProductID 20691638
Lightspeed,20691643,Bintang,Bintang,2.3400,can,1,1,each,,harry_gatos,bo-seed-harry_gatos,2026-01-01,yes,BO export cost (each); ProductID 20691643
Lightspeed,20691644,Tsingtao Longneck,Tsingtao Longneck,4.6900,can,1,1,each,,harry_gatos,bo-seed-harry_gatos,2026-01-01,yes,BO export cost (each); ProductID 20691644
Lightspeed,20691646,Corona,Corona,2.5400,can,1,1,each,,harry_gatos,bo-seed-harry_gatos,2026-01-01,yes,BO export cost (each); ProductID 20691646
Lightspeed,20691647,Kaiju Hazy Pale [HG],Kaiju Hazy Pale [HG],2.2900,can,1,1,each,,harry_gatos,bo-seed-harry_gatos,2026-01-01,yes,BO export cost (each); ProductID 20691647
Lightspeed,20691649,Philter Old Ale [HG],Philter Old Ale [HG],3.0000,can,1,1,each,,harry_gatos,bo-seed-harry_gatos,2026-01-01,yes,BO export cost (each); ProductID 20691649
Lightspeed,20691651,Asahi 3.5%,Asahi 3.5%,2.1800,can,1,1,each,,harry_gatos,bo-seed-harry_gatos,2026-01-01,yes,BO export cost (each); ProductID 20691651
Lightspeed,20700602,Angas & Bremer Grenache 750ML,Angas & Bremer Grenache,8.7700,,1,750,ml,,harry_gatos,bo-seed-harry_gatos,2026-01-01,yes,BO export cost (ml); ProductID 20700602
Lightspeed,20700616,Angas & Bremer Rosé 750ML,Angas & Bremer Rosé,8.7700,,1,750,ml,,harry_gatos,bo-seed-harry_gatos,2026-01-01,yes,BO export cost (ml); ProductID 20700616
Lightspeed,20700620,Palloncino Prosecco 750ML,Palloncino Prosecco,11.5000,,1,750,ml,,harry_gatos,bo-seed-harry_gatos,2026-01-01,yes,BO export cost (ml); ProductID 20700620
Lightspeed,20700625,Esoterico Orange 750ML,Esoterico Orange,13.4300,,1,750,ml,,harry_gatos,bo-seed-harry_gatos,2026-01-01,yes,BO export cost (ml); ProductID 20700625
