item_id,item_name,container,base_qty,base_unit,source,evidence
lightspeed:20487270,Angostura Bitters [200ml],container,200,ml,product_name,name states 200ml
lightspeed:20487298,Alehouse Draught Lager [Keg],pack,49500,ml,pack_override,human-confirmed
lightspeed:20487313,Alehouse Summer Mid [Keg],pack,49500,ml,pack_override,human-confirmed
lightspeed:20487328,De Bortoli Gold Seal Dry Red [15L],container,15000,ml,product_name,name states 15l
lightspeed:20487793,Massenez Black Cacao [5L],container,5000,ml,product_name,name states 5l
lightspeed:20487805,Fee Bros Black Walnut Bitters [150ml],container,150,ml,product_name,name states 150ml
lightspeed:20492642,Massenez Wild Strawberry [750ml],container,750,ml,product_name,name states 750ml
lightspeed:20492692,Massenez Cacao Blanc [750ml],container,750,ml,product_name,name states 750ml
lightspeed:20564881,Cucumber,each,1,each,unit_is_each,one is one
lightspeed:20645891,Screaming Betty Vermentino [750ml],container,750,ml,product_name,name states 750ml
lightspeed:20645912,Travelling While Standing Still Gin [700ml],container,700,ml,product_name,name states 700ml
lightspeed:20645918,Gosling's Black Rum [700ml],container,700,ml,product_name,name states 700ml
lightspeed:20681676,Lemonade [mixer],each,1,each,unit_is_each,one is one
lightspeed:20681681,Pink Lemonade [mixer],each,1,each,unit_is_each,one is one
lightspeed:20691638,Heaps Normal Quiet XPA,each,1,each,unit_is_each,one is one
lightspeed:20691643,Bintang,each,1,each,unit_is_each,one is one
lightspeed:20691644,Tsingtao Longneck,each,1,each,unit_is_each,one is one
lightspeed:20691647,Kaiju Hazy Pale [HG],each,1,each,unit_is_each,one is one
lightspeed:20691649,Philter Old Ale [HG],each,1,each,unit_is_each,one is one
lightspeed:20702600,Pepsi Glass,each,1,each,unit_is_each,one is one
lightspeed:20727779,Bittermen's Tiki Bitters [Bottle],pack,146,ml,pack_override,human-confirmed
lightspeed:20747514,Angostura Bitters - Bottle 200ml,container,200,ml,product_name,name states 200ml
lightspeed:20768432,Saika Junmai Daiginjo [720ml],container,720,ml,product_name,name states 720ml
lightspeed:20768492,Handago Junmai Ginjo [1.8L],container,1800.0,ml,product_name,name states 1.8l
lightspeed:20768495,Tengumai Umajan Junmai [1.8L],container,1800.0,ml,product_name,name states 1.8l
lightspeed:20779180,Pepsi Max Glass,each,1,each,unit_is_each,one is one
lightspeed:20795747,Monteith's Apple Cider [HG],each,1,each,unit_is_each,one is one
lightspeed:20873385,Barebones Clear Ice Block,each,1,each,unit_is_each,one is one
lightspeed:21020008,Flake Salt [6kg Box],container,6000,g,product_name,name states 6kg
lightspeed:21020214,Organic Vanilla Extract [500ml],container,500,ml,product_name,name states 500ml
lightspeed:21020232,Coffee Beans [1kg],container,1000,g,product_name,name states 1kg
lightspeed:21319585,Hyoketsu Lemon [HG],each,1,each,unit_is_each,one is one
lightspeed:21712396,Gluten-free Base,each,1,each,unit_is_each,one is one
lightspeed:21750311,Jinro Chamisul - 360ml,container,360,ml,product_name,name states 360ml
lightspeed:21750316,Jinro Strawberry [360ml] — 60ml pour,container,360,ml,product_name,name states 360ml
lightspeed:21750877,Kuromatsu Honjozo [900ml],container,900,ml,product_name,name states 900ml
lightspeed:21939293,Little Dragon Can,each,1,each,unit_is_each,one is one
lightspeed:21999746,Havana 3yr [700ml],container,700,ml,product_name,name states 700ml
lightspeed:21999769,Peroni 0%,each,1,each,unit_is_each,one is one
lightspeed:22169755,Hine Rare VSOP Cognac [700ml],container,700,ml,product_name,name states 700ml
lightspeed:22253061,Nikka Black Whisky [700ml],container,700,ml,product_name,name states 700ml
lightspeed:22384136,Little Dragon Ginger Beer Can,each,1,each,unit_is_each,one is one
lightspeed:22442938,Grifter Big Sur IPA Can [HG],each,1,each,unit_is_each,one is one
lightspeed:22479979,Big Cheese - Shredded Mozzarella [2kg],container,2000,g,product_name,name states 2kg
lightspeed:22480046,Prosciutto Sliced [500g],container,500,g,product_name,name states 500g
lightspeed:22480081,Baby Spinach [1.5Kg],container,1500.0,g,product_name,name states 1.5kg
lightspeed:22480095,Chorizo [1Kg],container,1000,g,product_name,name states 1kg
lightspeed:22480103,Basil Pesto [1.9Kg],container,1900.0,g,product_name,name states 1.9kg
lightspeed:22480112,Jalapenos [3Kg],container,3000,g,product_name,name states 3kg
lightspeed:22480144,Char-grilled Caps [4.1Kg],container,4100.0,g,product_name,name states 4.1kg
lightspeed:22480147,Zucchini [1Kg],container,1000,g,product_name,name states 1kg
lightspeed:22480169,Harissa Prawns [7Kg],container,7000,g,product_name,name states 7kg
lightspeed:22488943,Pineapple Cut Squid [5kg],container,5000,g,product_name,name states 5kg
lightspeed:22491356,Cherry Tom [250g/Punnet],container,250,g,product_name,name states 250g
lightspeed:22491666,Brown Onions [20kg],container,20000,g,product_name,name states 20kg
lightspeed:22491679,Pineapple pizza [9Kg],container,9000,g,product_name,name states 9kg
lightspeed:22491688,Mixed Olives [6Kg],container,6000,g,product_name,name states 6kg
lightspeed:22491689,Bacon pizza [5Kg],container,5000,g,product_name,name states 5kg
lightspeed:22507818,Chicken Wing [5KG],container,5000,g,product_name,name states 5kg
lightspeed:22508452,Liquid Nitrogen [10L],container,10000,ml,product_name,name states 10l
lightspeed:22514089,Vegan Shredded Cheese [500g],container,500,g,product_name,name states 500g
lightspeed:22514090,Walnuts [1kg],container,1000,g,product_name,name states 1kg
lightspeed:22514091,Truffole Oil [250ml],container,250,ml,product_name,name states 250ml
lightspeed:22524104,Balsamic Vinegar [5L],container,5000,ml,product_name,name states 5l
lightspeed:22524105,Olive Oil [4L],container,4000,ml,product_name,name states 4l
lightspeed:22524134,Peeled Garlic [1Kg],container,1000,g,product_name,name states 1kg
lightspeed:22533097,Yoghurt Greek Style [1Kg],container,1000,g,product_name,name states 1kg
lightspeed:22533151,Tandoori Paste [1.25Kg],container,1250.00,g,product_name,name states 1.25kg
lightspeed:22575946,818 Tequila Blanco [700ml],container,700,ml,product_name,name states 700ml
lightspeed:22614595,Hard Rated Can,each,1,each,unit_is_each,one is one
lightspeed:22684315,Massenez Elderflower [5L],pack,5000,ml,pack_override,human-confirmed
lightspeed:22795730,Two Bays GF Rice Lager Can [HG],each,1,each,unit_is_each,one is one
lightspeed:22796313,Black Beans [7.8kg],container,7800.0,g,product_name,name states 7.8kg
lightspeed:22843720,East Coast Grapefruit [2L],container,2000,ml,product_name,name states 2l
lightspeed:22843745,Bundaberg White Sugar [25kg],container,25000,g,product_name,name states 25kg
lightspeed:22843971,Malic Acid [1kg],container,1000,g,product_name,name states 1kg
lightspeed:22843972,Citric Acid [20kg],container,20000,g,product_name,name states 20kg
lightspeed:22843999,Jalapeño Juice [1L],container,1000,ml,product_name,name states 1l
lightspeed:22844058,East Coast Pineapple Juice [2L],container,2000,ml,product_name,name states 2l
lightspeed:22844065,East Coast Apple Juice [2L],container,2000,ml,product_name,name states 2l
lightspeed:22844068,East Coast Cranberry Juice [2L],container,2000,ml,product_name,name states 2l
lightspeed:22844123,East Coast Orange Juice [2L],container,2000,ml,product_name,name states 2l
lightspeed:22873696,Massenez Mango Liqueur [5L Cask],container,5000,ml,product_name,name states 5l
lightspeed:22873831,"Regular Pizza Box 11""",pack,50,each,pack_override,human-confirmed
lightspeed:22873851,"Large Pizza Box 13""",pack,50,each,pack_override,human-confirmed
lightspeed:22873876,Pizza Box Inserts,pack,100,each,pack_override,human-confirmed
lightspeed:22874518,Massenez Apple [700ml],container,700,ml,product_name,name states 700ml
lightspeed:22888608,Chicken Schnitzel Breast Crumbed 150g (6kg/Ctn),container,150,g,product_name,name states 150g
lightspeed:22888614,Achiote Paste 1kg El Yucateco,container,1000,g,product_name,name states 1kg
lightspeed:22888615,Aioli Garlic Mayonnaise 10kg Birch & Waite,container,10000,g,product_name,name states 10kg
lightspeed:22888616,Almond Meal 1kg Natures Secret,container,1000,g,product_name,name states 1kg
lightspeed:22888618,Barramundi Fillets Imp 200/300 S/Off 5kg Trading,container,5000,g,product_name,name states 5kg
lightspeed:22888623,Butter Girgar 1.5kg Mainland,container,1500.0,g,product_name,name states 1.5kg
lightspeed:22888625,Cheese Parmesan Block Grana 1/4 Avg 4.4kg R/W Emilgrana,container,4400.0,g,product_name,name states 4.4kg
lightspeed:22888630,Farm Frites Crispy Coated 10mm [2.5kg],container,2500.0,g,product_name,name states 2.5kg
lightspeed:22888632,Coriander Ground 400g Chefs Choice,container,400,g,product_name,name states 400g
lightspeed:22888642,Honey Pure 3kg Wild Flower,pack,3000,g,pack_override,human-confirmed
lightspeed:22888647,Mayonnaise Mild Japanese 1kg Kewpie,container,1000,g,product_name,name states 1kg
lightspeed:22888649,Mayonnaise Whole Egg 20kg Plate & Platter,container,20000,g,product_name,name states 20kg
lightspeed:22888650,Milk Fresh Full Cream 2L Norco,container,2000,ml,product_name,name states 2l
lightspeed:22888658,Pepper White Ground 500g Galaxy,container,500,g,product_name,name states 500g
lightspeed:22888660,Preserved Lemon 350g Chefs Choice,container,350,g,product_name,name states 350g
lightspeed:22888666,Stock Powder Vegetable Tin 2.5kg Massel,container,2500.0,g,product_name,name states 2.5kg
lightspeed:22888667,Sugar Brown 1kg CSR,container,1000,g,product_name,name states 1kg
lightspeed:22888668,Sugar Caster 1kg CSR,container,1000,g,product_name,name states 1kg
lightspeed:22888670,Tempeh 250g Nutrisoy,container,250,g,product_name,name states 250g
lightspeed:22888673,Truffle Paste Black 500g Mazza,container,500,g,product_name,name states 500g
lightspeed:22888695,Lamb Leg Boned & Rolled Netted [1kg],container,1000,g,product_name,name states 1kg
lightspeed:22888703,Almond Slivered 1kg Natures Secret,container,1000,g,product_name,name states 1kg
lightspeed:22888705,Apricot Dried 1kg Natures Secret,container,1000,g,product_name,name states 1kg
lightspeed:22888728,Chicken Nuggets Dinosnacks 6X1Kg Steggles,container,1000,g,product_name,name states 1kg
lightspeed:22888732,Chipotle Chillis A10 In Adobe Sce 3kg Faro,container,3000,g,product_name,name states 3kg
lightspeed:22888733,Chocolate Dark 1kg Natures Secret,container,1000,g,product_name,name states 1kg
lightspeed:22888746,Cranberries Dried 1kg Natures Secret,container,1000,g,product_name,name states 1kg
lightspeed:22888747,Cream Pure Fresh 2L Norco,container,2000,ml,product_name,name states 2l
lightspeed:22888760,Frank's Hot Sauce 1Galln 3.8L Franks,pack,3785,ml,pack_override,human-confirmed
lightspeed:22888762,Garlic Powder 5kg Galaxy,container,5000,g,product_name,name states 5kg
lightspeed:22888768,Gravy Mix Rich Brown G/Free 7kg Executive Chef,container,7000,g,product_name,name states 7kg
lightspeed:22888788,Linseed ( Flaxseed ) 1kg Natures Secret,container,1000,g,product_name,name states 1kg
lightspeed:22888794,Medjool Dates 1kg Natures Secret,container,1000,g,product_name,name states 1kg
lightspeed:22888802,Mousse Chocolate 1.9kg Nestle,container,1900.0,g,product_name,name states 1.9kg
lightspeed:22888803,Mustard Dijon 2.5kg Masterfoods,container,2500.0,g,product_name,name states 2.5kg
lightspeed:22888805,Nectar Agave Organic 4L Chefs Choice,container,4000,ml,product_name,name states 4l
lightspeed:22888819,Paprika Smoked Bulk 25kg Galaxy,container,25000,g,product_name,name states 25kg
lightspeed:22888828,Pickles Whole Dill 20kg Westmont,container,20000,g,product_name,name states 20kg
lightspeed:22888833,Quinoa Seeds Mix 1kg Galaxy,container,1000,g,product_name,name states 1kg
lightspeed:22888836,Salt Cooking 10kg Olssons,container,10000,g,product_name,name states 10kg
lightspeed:22888837,Salt Cooking 1kg Olssons,container,1000,g,product_name,name states 1kg
lightspeed:22888841,Sea Salt Flakes 1.5kg Sandhurst,container,1500.0,g,product_name,name states 1.5kg
lightspeed:22888875,Vinegar White 20L Edlyn,container,20000,ml,product_name,name states 20l
lightspeed:22888898,Patties Wagyu Tajima Classic 150g Fresh (20/Pk),container,150,g,product_name,name states 150g
lightspeed:22893549,Oil Cottonseed [20L],container,20000,ml,product_name,name states 20l
lightspeed:22893550,Rice Jasmine Fragrant [20kg],container,20000,g,product_name,name states 20kg
lightspeed:22893566,Cooking Sake Jun [18L],container,18000,ml,product_name,name states 18l
lightspeed:22893567,Rice Vinegar Uchibori [20L],container,20000,ml,product_name,name states 20l
lightspeed:22893568,Gyoza Vegetable Marumatsu Jun [800g],pack,800,g,pack_override,human-confirmed
lightspeed:22893698,Pineapple Frozen [1kg],container,1000,g,product_name,name states 1kg
lightspeed:22893699,Mango Frozen [1kg],container,1000,g,product_name,name states 1kg
lightspeed:22893714,Acai Berry Man Tub [1kg],container,1000,g,product_name,name states 1kg
lightspeed:22893724,Dragonfruit Puree [10kg],container,10000,g,product_name,name states 10kg
lightspeed:22898071,Oyster Sauce Megachef [5.4kg],container,5400.0,g,product_name,name states 5.4kg
lightspeed:22898072,Soy Sauce Dark Pearl River [600mL],container,600,ml,product_name,name states 600ml
lightspeed:22898073,Soy Sauce Sweet Megachef [4.5L],container,4500.0,ml,product_name,name states 4.5l
lightspeed:22898076,Egg Whole Pulp Frozen [10kg],container,10000,g,product_name,name states 10kg
lightspeed:22898077,Bamboo Shoot Sliced A10 [2.84kg],container,2840.00,g,product_name,name states 2.84kg
lightspeed:22898078,Pepper White Ground Galaxy [500g],container,500,g,product_name,name states 500g
lightspeed:22898079,Pepper Black Whole Windsor Farm [500g],container,500,g,product_name,name states 500g
lightspeed:22898080,Spring Roll Veg Hakka [ea],pack,1,each,pack_override,human-confirmed
lightspeed:22898083,BBQ Pork Buns Canton [ea],pack,1,each,pack_override,human-confirmed
lightspeed:22898084,Peking Duck Spring Rolls Canton [ea],pack,1,each,pack_override,human-confirmed
lightspeed:22898507,Sesame Oil Heaven Dragon [2L],container,2000,ml,product_name,name states 2l
lightspeed:22898623,Beans Edamame Soy Frozen [350g],container,350,g,product_name,name states 350g
lightspeed:22900613,Nori [125g],container,125,g,product_name,name states 125g
lightspeed:22902935,Prawn Meat Raw Vannamei [700g],container,700,g,product_name,name states 700g
lightspeed:22902937,Sriracha [730mL],container,730,ml,product_name,name states 730ml
lightspeed:22902956,Mirin [1.8L],container,1800.0,ml,product_name,name states 1.8l
lightspeed:22902961,Soy Sauce Tamari Spiral [10L],container,10000,ml,product_name,name states 10l
lightspeed:22902975,Rice Wine Vinegar [500mL],container,500,ml,product_name,name states 500ml
lightspeed:22902977,MSG Sasa [1kg],container,1000,g,product_name,name states 1kg
lightspeed:22903033,Tonkatsu Sauce Bulldog [1.8L],container,1800.0,ml,product_name,name states 1.8l
lightspeed:22918950,Quandong Halves Frozen [1kg],container,1000,g,product_name,name states 1kg
lightspeed:22918951,Egg Fresh [ea],pack,1,each,pack_override,human-confirmed
lightspeed:22918953,Kutjera Bush Tomato Powder [100g],container,100,g,product_name,name states 100g
lightspeed:22918966,Ponzu Dashi Vinegar Uchibori [360mL],pack,1,ml,pack_override,human-confirmed
lightspeed:22918967,Sweet Chilli Jam Knorr [920g],container,920,g,product_name,name states 920g
lightspeed:22918968,Hoi Sin Sauce LKK [2.27kg],container,2270.00,g,product_name,name states 2.27kg
lightspeed:22918970,Garlic Chilli Sauce LKK [1.05kg],container,1050.00,g,product_name,name states 1.05kg
lightspeed:22918981,Tomato Sauce Heinz [4L],container,4000,ml,product_name,name states 4l
lightspeed:22918985,Mayonnaise Japanese Kewpie [1kg],container,1000,g,product_name,name states 1kg
lightspeed:22918987,Mushroom Shiitake Dried [1kg],container,1000,g,product_name,name states 1kg
lightspeed:22918993,Dumpling Pork Chive Sun Circle [600g],container,600,g,product_name,name states 600g
lightspeed:22918996,Dumpling Chicken Corn Sun Circle [600g],container,600,g,product_name,name states 600g
lightspeed:22918997,Dumpling Beef Cabbage Sun Circle [600g],container,600,g,product_name,name states 600g
lightspeed:22918998,Prawn Har Gao Sun Circle - 50pcs [1kg],container,1000,g,product_name,name states 1kg
lightspeed:22920840,Star Anise [200g],container,200,g,product_name,name states 200g
lightspeed:22920842,Cloves [400g],container,400,g,product_name,name states 400g
lightspeed:22920844,Cinnamon Quills [200g],container,200,g,product_name,name states 200g
lightspeed:22920846,Vegetable Stock Powder [2.5kg],container,2500.0,g,product_name,name states 2.5kg
lightspeed:22920848,Brown Sugar [1kg],container,1000,g,product_name,name states 1kg
lightspeed:22920854,Wattleseed [100g],container,100,g,product_name,name states 100g
lightspeed:22931792,Hahn Super Dry GF,each,1,each,unit_is_each,one is one
lightspeed:22931826,Cauliflower [ea],pack,1,each,pack_override,human-confirmed
lightspeed:22931827,Noodles Instant Ayam [700g],container,700,g,product_name,name states 700g
lightspeed:22931830,Turkish Bread [loaf],pack,1,each,pack_override,human-confirmed
lightspeed:22988218,Cheese Mexican Blend Shredded [2kg],container,2000,g,product_name,name states 2kg
lightspeed:22989447,Heinz BBQ Sauce [4L],container,4000,ml,product_name,name states 4l
lightspeed:22992669,Chicken Whole Bird [No.8],each,1,each,unit_is_each,one is one
lightspeed:22992677,Pork Leg Roast [1KG],container,1000,g,product_name,name states 1kg
lightspeed:22993651,Sweet Potato Chips [1.5KG],container,1500.0,g,product_name,name states 1.5kg
lightspeed:22995328,Chicken Wing Nibble [15kg],container,15000,g,product_name,name states 15kg
lightspeed:22995335,Eggs 700 Grams [12x],pack,12,each,pack_override,human-confirmed
lightspeed:22995336,"Flour Tortillas 12"" Plain Mission [72's]",pack,72,each,pack_override,human-confirmed
lightspeed:22995337,"Flour Tortillas 6"" Plain Mission [24x12]",pack,288,each,pack_override,human-confirmed
lightspeed:22995341,Ham Soccerball Sliced Pendle [1kg],container,1000,g,product_name,name states 1kg
lightspeed:22995348,Lettuce Cos Baby Twin Pack [Each],each,1,each,unit_is_each,one is one
lightspeed:22995349,Lettuce Mesculin [1.5kg],container,1500.0,g,product_name,name states 1.5kg
lightspeed:22995352,Onion Brown [10kg],pack,1000,g,pack_override,human-confirmed
lightspeed:22995353,Pears Green [kg],pack,1,each,pack_override,human-confirmed
lightspeed:22995356,Potato Desiree [10kg],container,10000,g,product_name,name states 10kg
lightspeed:22995357,Potato Peeled [kg],pack,1000,g,pack_override,human-confirmed
lightspeed:22995361,Sour Cream Dairy Farmers [2L],container,2000,ml,product_name,name states 2l
lightspeed:22995363,Sundried Tomato Strips Mezzat [2kg],container,2000,g,product_name,name states 2kg
lightspeed:22995366,Vegetable Oil Simply [20L],container,20000,ml,product_name,name states 20l
lightspeed:22995367,White Truffle Oil Sandhurst [250ml],container,250,ml,product_name,name states 250ml
lightspeed:22995943,Pizza Flour Gem West Manildra [12.5kg],container,12500.0,g,product_name,name states 12.5kg
lightspeed:22995947,T2 Milk Bun Sliced White Sesame [85g],container,85,g,product_name,name states 85g
lightspeed:22996486,Corn Flour Maize Gluten Free 5kg Edlyn,container,5000,g,product_name,name states 5kg
lightspeed:22996505,Cheese Burger Sliced Hi Melt Thick [2.25kg] Pure Dairy,container,2250.00,g,product_name,name states 2.25kg
lightspeed:22996511,Pizza Base Gluten Free 11in [10x2 CTN] Letizza,pack,20,each,pack_override,human-confirmed
lightspeed:23007639,Beef Brisket YG Point End [1kg],container,1000,g,product_name,name states 1kg
lightspeed:23007804,Burger Sauce Birch & Waite [1L],container,1000,ml,product_name,name states 1l
lightspeed:23013739,Dairy Farmers Shaved Parmesan [1kg],container,1000,g,product_name,name states 1kg
lightspeed:23035273,Celery Diced [1kg],container,1000,g,product_name,name states 1kg
lightspeed:23036632,Chia Seeds Chefs Choice [1kg],container,1000,g,product_name,name states 1kg
lightspeed:23036892,Nacho Cheese A10 [3kg],container,3000,g,product_name,name states 3kg
lightspeed:23040879,Ice Cream Gold Label Vanilla [4L],container,4000,ml,product_name,name states 4l
lightspeed:23358927,San Giorgio Ciampoleto Rosso di Montalcino 2023 - Regular Glass,each,1,each,unit_is_each,one is one
lightspeed:23358931,San Giorgio Ciampoleto Rosso di Montalcino 2023 - Large Glass,each,1,each,unit_is_each,one is one
lightspeed:23358932,San Giorgio Ciampoleto Rosso di Montalcino 2023 - Bottle,each,1,each,unit_is_each,one is one
lightspeed:23358946,Tiziano Grasso Barolo Briccolina 2019 - Regular Glass,each,1,each,unit_is_each,one is one
lightspeed:23358951,Tiziano Grasso Barolo Briccolina 2019 - Large Glass,each,1,each,unit_is_each,one is one
lightspeed:23358952,Tiziano Grasso Barolo Briccolina 2019 - Bottle,each,1,each,unit_is_each,one is one
